#ZhuYin	RCD-I-1	FIANL-1
ㄎㄨㄤ	k_u	uang
ㄎㄨㄥ	k_u	ueng
ㄏㄚ	h_a	a
ㄏㄜ	h_e	e
ㄏㄞ	h_a	ai
ㄏㄟ	h_ee	ei
ㄏㄠ	h_a	au
ㄏㄡ	h_o	ou
ㄏㄢ	h_a	an
ㄏㄣ	h_e	en
ㄏㄤ	h_a	ang
ㄏㄥ	h_e	eng
ㄏㄨ	h_u	u
ㄏㄨㄚ	h_u	ua
ㄏㄨㄛ	h_u	uo
ㄏㄨㄞ	h_u	uai
ㄏㄨㄟ	h_u	uei
ㄏㄨㄢ	h_u	uan
ㄏㄨㄣ	h_u	uen
ㄏㄨㄤ	h_u	uang
ㄏㄨㄥ	h_u	ueng
ㄐㄧ	ji_i	i
ㄐㄧㄚ	ji_i	ia
ㄐㄧㄝ	ji_i	ie
ㄐㄧㄠ	ji_i	iau
ㄐㄧㄡ	ji_i	iou
ㄐㄧㄢ	ji_i	ian
ㄐㄧㄣ	ji_i	in
ㄐㄧㄤ	ji_i	iang
ㄐㄧㄥ	ji_i	ing
ㄐㄩ	ji_iu	iu
ㄐㄩㄝ	ji_iu	iue
ㄐㄩㄢ	ji_iu	iuan
ㄐㄩㄣ	ji_iu	iun
ㄐㄩㄥ	ji_iu	iung
ㄑㄧ	chi_i	i
ㄑㄧㄚ	chi_i	ia
ㄑㄧㄝ	chi_i	ie
ㄑㄧㄠ	chi_i	iau
ㄑㄧㄡ	chi_i	iou
ㄑㄧㄢ	chi_i	ian
ㄑㄧㄣ	chi_i	in
ㄑㄧㄤ	chi_i	iang
ㄑㄧㄥ	chi_i	ing
ㄑㄩ	chi_iu	iu
ㄑㄩㄝ	chi_iu	iue
ㄑㄩㄢ	chi_iu	iuan
ㄑㄩㄣ	chi_iu	iun
ㄑㄩㄥ	chi_iu	iung
ㄒㄧ	shi_i	i
ㄒㄧㄚ	shi_i	ia
ㄒㄧㄝ	shi_i	ie
ㄒㄧㄠ	shi_i	iau
ㄒㄧㄡ	shi_i	iou
ㄒㄧㄢ	shi_i	ian
ㄒㄧㄣ	shi_i	in
ㄒㄧㄤ	shi_i	iang
ㄒㄧㄥ	shi_i	ing
ㄒㄩ	shi_iu	iu
ㄒㄩㄝ	shi_iu	iue
ㄒㄩㄢ	shi_iu	iuan
ㄒㄩㄣ	shi_iu	iun
ㄒㄩㄥ	shi_iu	iung
ㄓ	j_empt	empt1
ㄓㄚ	j_a	a
ㄓㄜ	j_e	e
ㄓㄞ	j_a	ai
ㄓㄠ	j_a	au
ㄓㄡ	j_o	ou
ㄓㄢ	j_a	an
ㄓㄣ	j_e	en
ㄓㄤ	j_a	ang
ㄓㄥ	j_e	eng
ㄓㄨ	j_u	u
ㄓㄨㄚ	j_u	ua
ㄓㄨㄛ	j_u	uo
ㄓㄨㄞ	j_u	uai
ㄓㄨㄟ	j_u	uei
ㄓㄨㄢ	j_u	uan
ㄓㄨㄣ	j_u	uen
ㄓㄨㄤ	j_u	uang
ㄓㄨㄥ	j_u	ueng
ㄔ	ch_empt	empt1
ㄔㄚ	ch_a	a
ㄔㄜ	ch_e	e
ㄔㄞ	ch_a	ai
ㄔㄠ	ch_a	au
ㄔㄡ	ch_o	ou
ㄔㄢ	ch_a	an
ㄔㄣ	ch_e	en
ㄔㄤ	ch_a	ang
ㄔㄥ	ch_e	eng
ㄔㄨ	ch_u	u
ㄔㄨㄚ	ch_u	ua
ㄔㄨㄛ	ch_u	uo
ㄔㄨㄞ	ch_u	uai
ㄔㄨㄟ	ch_u	uei
ㄔㄨㄢ	ch_u	uan
ㄔㄨㄣ	ch_u	uen
ㄔㄨㄤ	ch_u	uang
ㄔㄨㄥ	ch_u	ueng
ㄕ	sh_empt	empt1
ㄕㄚ	sh_a	a
ㄕㄜ	sh_e	e
ㄕㄞ	sh_a	ai
ㄕㄟ	sh_ee	ei
ㄕㄠ	sh_a	au
ㄕㄡ	sh_o	ou
ㄕㄢ	sh_a	an
ㄕㄣ	sh_e	en
ㄕㄤ	sh_a	ang
ㄕㄥ	sh_e	eng
ㄕㄨ	sh_u	u
ㄕㄨㄚ	sh_u	ua
ㄕㄨㄛ	sh_u	uo
ㄕㄨㄞ	sh_u	uai
ㄕㄨㄟ	sh_u	uei
ㄕㄨㄢ	sh_u	uan
ㄕㄨㄣ	sh_u	uen
ㄕㄨㄤ	sh_u	uang
ㄖ	r_empt	empt1
ㄖㄜ	r_e	e
ㄖㄠ	r_a	au
ㄖㄡ	r_o	ou
ㄖㄢ	r_a	an
ㄖㄣ	r_e	en
ㄖㄤ	r_a	ang
ㄖㄥ	r_e	eng
ㄖㄨ	r_u	u
ㄖㄨㄛ	r_u	uo
ㄖㄨㄟ	r_u	uei
ㄖㄨㄢ	r_u	uan
ㄖㄨㄣ	r_u	uen
ㄖㄨㄥ	r_u	ueng
ㄗ	tz_empt	empt2
ㄗㄚ	tz_a	a
ㄗㄜ	tz_e	e
ㄗㄞ	tz_a	ai
ㄗㄟ	tz_ee	ei
ㄗㄠ	tz_a	au
ㄗㄡ	tz_o	ou
ㄗㄢ	tz_a	an
ㄗㄣ	tz_e	en
ㄗㄤ	tz_a	ang
ㄗㄥ	tz_e	eng
ㄗㄨ	tz_u	u
ㄗㄨㄛ	tz_u	uo
ㄗㄨㄟ	tz_u	uei
ㄗㄨㄢ	tz_u	uan
ㄗㄨㄣ	tz_u	uen
ㄗㄨㄥ	tz_u	ueng
ㄘ	ts_empt	empt2
ㄘㄚ	ts_a	a
ㄘㄜ	ts_e	e
ㄘㄞ	ts_a	ai
ㄘㄠ	ts_a	au
ㄘㄡ	ts_o	ou
ㄘㄢ	ts_a	an
ㄘㄣ	ts_e	en
ㄘㄤ	ts_a	ang
ㄘㄥ	ts_e	eng
ㄘㄨ	ts_u	u
ㄘㄨㄛ	ts_u	uo
ㄘㄨㄟ	ts_u	uei
ㄘㄨㄢ	ts_u	uan
ㄘㄨㄣ	ts_u	uen
ㄘㄨㄥ	ts_u	ueng
ㄙ	s_empt	empt2
ㄙㄚ	s_a	a
ㄙㄜ	s_e	e
ㄙㄞ	s_a	ai
ㄙㄠ	s_a	au
ㄙㄡ	s_o	ou
ㄙㄢ	s_a	an
ㄙㄣ	s_e	en
ㄙㄤ	s_a	ang
ㄙㄥ	s_e	eng
ㄙㄨ	s_u	u
ㄙㄨㄛ	s_u	uo
ㄙㄨㄟ	s_u	uei
ㄙㄨㄢ	s_u	uan
ㄙㄨㄣ	s_u	uen
ㄙㄨㄥ	s_u	ueng
ㄚ	sic_a	a
ㄛ	sic_o	o
ㄜ	sic_e	e
ㄞ	sic_a	ai
ㄠ	sic_a	au
ㄡ	sic_o	ou
ㄢ	sic_a	an
ㄣ	sic_e	en
ㄤ	sic_a	ang
ㄦ	sic_e	er
ㄧ	sic_i	i
ㄧㄚ	sic_i	ia
ㄧㄝ	sic_i	ie
ㄧㄞ	sic_i	iai
